cowin,census
Ahmednagar,Ahmadnagar
Angul,Anugul
Ayodhya,Faizabad
Bagalkote,Bagalkot
Beed,Bid
Bengaluru Rural,Bangalore Rural
Bengaluru Urban,Bangalore
Amroha,Jyotiba Phule Nagar
Balasore,Baleshwar
Ballari,Bellary
Bandipora,Bandipore
Buldhana,Buldana
Banaskantha,Banas Kantha
Baramulla,Baramula
Boudh,Baudh
Belagavi,Belgaum
Central Delhi,Central
Bhadohi,Sant Ravidas Nagar (Bhadohi)
Chamarajanagara,Chamarajanagar
Chikkamagaluru,Chikmagalur
Chittorgarh,Chittaurgarh
Cooch Behar,Koch Bihar
Dadra and Nagar Haveli,Dadra & Nagar Haveli
Dahod,Dohad
Darjeeling,Darjiling
Dang,The Dangs
Deogarh,Debagarh
Dholpur,Dhaulpur
East Champaran,Purba Champaran
East Delhi,East
East Sikkim,East District
East Singhbhum,Purbi Singhbhum
Ferozepur,Firozpur
Gondia,Gondiya
Gurugram,Gurgaon
Haridwar,Hardwar
Hathras,Mahamaya Nagar
Hooghly,Hugli
Howrah,Haora
Jagatsinghpur,Jagatsinghapur
Jajpur,Jajapur
Jalore,Jalor
Janjgir Champa,Janjgir - Champa
Jhunjhunu,Jhunjhunun
Kaimur,Kaimur (Bhabua)
Khandwa,Khandwa (East Nimar)
Khargone,Khargone (West Nimar)
Koderma,Kodarma
Kutch,Kachchh
Lahaul and Spiti,Lahul & Spiti
Kalaburagi,Gulbarga
Kanyakumari,Kanniyakumari
Lakhimpur Kheri,Kheri
Maharajganj,Mahrajganj
Malda,Maldah
Mehsana,Mahesana
Mysuru,Mysore
Nilgiris,The Nilgiris
Narsinghpur,Narsimhapur
North 24 Parganas,North Twenty Four Parganas
North Delhi,North
North East Delhi,North East
North Sikkim,North  District
North West Delhi,North West
North and Middle Andaman,North  & Middle Andaman
Panchmahal,Panch Mahals
West Champaran,Pashchim Champaran
West Singhbhum,Pashchimi Singhbhum
Prayagraj,Allahabad
Purulia,Puruliya
S.A.S. Nagar,Sahibzada Ajit Singh Nagar
S.P.S. Nellore,Sri Potti Sriramulu Nellore
Sabarkantha,Sabar Kantha
Sri Muktsar Sahib,Muktsar
South West Delhi,South West
South Delhi,South
South Sikkim,South District
Shopiyan,Shupiyan
South 24 Parganas,South Twenty Four Parganas
Shivamogga,Shimoga
Tumakuru,Tumkur
Y.S.R. Kadapa,Y.S.R.
West Sikkim,West District
West Delhi,West
Upper Dibang Valley,Dibang Valley
Barabanki,Bara Banki
Budgam,Badgam
Ahmedabad,Ahmadabad
